"","no","speciesID","species","combination","temp","rep","sampling","cellVolume"
"831",326,"DityCux","duo","DG","inc+fluc",2,1,5304546.22386937
"832",122,"DityCux","duo","AD","CS",2,1,15913638.6716081
"833",469,"DityCux","quattro","ADGT","inc+fluc",1,3,185659117.835428
"834",403,"DityCux","quattro","ADRT","fluct",1,15,3094318.63059047
"835",68,"DityCux","mono","D","inc",2,3,58350008.4625631
"836",97,"DityCux","mono","D","inc+fluc",1,9,331534138.991836
"837",217,"DityCux","duo","DT","fluct",1,3,13261365.5596734
"838",145,"DityCux","duo","DG","CS",1,6,216602304.141333
"839",266,"DityCux","duo","DG","inc",2,6,61886372.6118093
"840",146,"DityCux","duo","DG","CS",2,6,106090924.477387
"841",39,"DityCux","mono","D","fluct",3,12,99018196.1788949
"842",405,"DityCux","quattro","ADRT","fluct",3,15,0
"843",122,"DityCux","duo","AD","CS",2,12,24754549.0447237
"844",392,"DityCux","quattro","DGRT","fluct",2,3,46414779.458857
"845",469,"DityCux","quattro","ADGT","inc+fluc",1,15,24754549.0447237
"846",158,"DityCux","duo","DT","CS",2,9,114931834.850503
"847",273,"DityCux","duo","DR","inc",3,6,64096600.2050882
"848",271,"DityCux","duo","DR","inc",1,3,123772745.223619
"849",267,"DityCux","duo","DG","inc",3,3,123772745.223619
"850",391,"DityCux","quattro","DGRT","fluct",1,15,0
"851",332,"DityCux","duo","DR","inc+fluc",2,12,8840910.37311562
"852",212,"DityCux","duo","DR","fluct",2,12,3094318.63059047
"853",183,"DityCux","duo","AD","fluct",3,1,3978409.66790203
"854",9,"DityCux","mono","D","CS",3,1,1768182.07462312
"855",267,"DityCux","duo","DG","inc",3,1,10609092.4477387
"856",211,"DityCux","duo","DR","fluct",1,9,18786934.5428707
"857",147,"DityCux","duo","DG","CS",3,1,10609092.4477387
"858",403,"DityCux","quattro","ADRT","fluct",1,6,26522731.1193468
"859",339,"DityCux","duo","DT","inc+fluc",3,12,24754549.0447237
"860",9,"DityCux","mono","D","CS",3,15,183890935.760805
"861",279,"DityCux","duo","DT","inc",3,3,111395470.701257
"862",207,"DityCux","duo","DG","fluct",3,6,132613655.596734
"863",470,"DityCux","quattro","ADGT","inc+fluc",2,9,88409103.7311562
"864",39,"DityCux","mono","D","fluct",3,3,79568193.3580405
"865",325,"DityCux","duo","DG","inc+fluc",1,3,99018196.1788949
"866",218,"DityCux","duo","DT","fluct",2,9,114931834.850503
"867",386,"DityCux","quattro","ADGR","CS",2,6,119352290.037061
"868",469,"DityCux","quattro","ADGT","inc+fluc",1,6,581731902.551008
"869",476,"DityCux","quattro","ADGR","inc+fluc",2,12,198036392.35779
"870",207,"DityCux","duo","DG","fluct",3,3,185659117.835428
"871",338,"DityCux","duo","DT","inc+fluc",2,6,75147738.1714827
"872",475,"DityCux","quattro","ADGR","inc+fluc",1,9,25417617.3227074
"873",123,"DityCux","duo","AD","CS",3,1,3978409.66790203
"874",410,"DityCux","quattro","ADGT","fluct",2,6,44204551.8655781
"875",67,"DityCux","mono","D","inc",1,3,100786378.253518
"876",476,"DityCux","quattro","ADGR","inc+fluc",2,9,34479550.4551509
"877",181,"DityCux","duo","AD","fluct",1,6,63654554.6864324
"878",411,"DityCux","quattro","ADGT","fluct",3,6,44204551.8655781
"879",338,"DityCux","duo","DT","inc+fluc",2,3,136150019.74598
"880",393,"DityCux","quattro","DGRT","fluct",3,6,25417617.3227074
"881",339,"DityCux","duo","DT","inc+fluc",3,3,198036392.35779
"882",469,"DityCux","quattro","ADGT","inc+fluc",1,1,9282955.8917714
"883",409,"DityCux","quattro","ADGT","fluct",1,1,9282955.8917714
"884",242,"DityCux","duo","AD","inc",2,12,383695510.193218
"885",481,"DityCux","MIX","ADGRT","CS",1,9,44204551.8655781
"886",470,"DityCux","quattro","ADGT","inc+fluc",2,1,24754549.0447237
"887",98,"DityCux","mono","D","inc+fluc",2,6,163556841.902639
"888",439,"DityCux","quattro","ADGT","inc",1,6,57465917.4252515
"889",471,"DityCux","quattro","ADGT","inc+fluc",3,1,30943186.3059047
"890",219,"DityCux","duo","DT","fluct",3,1,1326136.55596734
"891",411,"DityCux","quattro","ADGT","fluct",3,1,30943186.3059047
"892",423,"DityCux","quattro","DGRT","inc",3,9,4420455.18655781
"893",361,"DityCux","quattro","DGRT","CS",1,6,33153413.8991836
"894",483,"DityCux","MIX","ADGRT","CS",3,9,26522731.1193468
"895",433,"DityCux","quattro","ADRT","inc",1,15,30943186.3059047
"896",271,"DityCux","duo","DR","inc",1,1,5304546.22386937
"897",325,"DityCux","duo","DG","inc+fluc",1,6,163556841.902639
"898",476,"DityCux","quattro","ADGR","inc+fluc",2,1,18565911.7835428
"899",421,"DityCux","quattro","DGRT","inc",1,3,58792053.9812188
"900",423,"DityCux","quattro","DGRT","inc",3,6,38678982.8823808
"901",361,"DityCux","quattro","DGRT","CS",1,3,37131823.5670856
"902",477,"DityCux","quattro","ADGR","inc+fluc",3,1,15471593.1529523
"903",213,"DityCux","duo","DR","fluct",3,9,16576706.9495918
"904",121,"DityCux","duo","AD","CS",1,3,198036392.35779
"905",271,"DityCux","duo","DR","inc",1,15,13261365.5596734
"906",481,"DityCux","MIX","ADGRT","CS",1,1,15471593.1529523
"907",339,"DityCux","duo","DT","inc+fluc",3,9,110511379.663945
"908",123,"DityCux","duo","AD","CS",3,3,136150019.74598
"909",363,"DityCux","quattro","DGRT","CS",3,3,58792053.9812188
"910",422,"DityCux","quattro","DGRT","inc",2,1,27848867.6753142
"911",67,"DityCux","mono","D","inc",1,6,185659117.835428
"912",151,"DityCux","duo","DR","CS",1,12,3094318.63059047
"913",332,"DityCux","duo","DR","inc+fluc",2,3,136150019.74598
"914",266,"DityCux","duo","DG","inc",2,9,402261421.97676
"915",212,"DityCux","duo","DR","fluct",2,3,5525568.98319726
"916",277,"DityCux","duo","DT","inc",1,12,24754549.0447237
"917",337,"DityCux","duo","DT","inc+fluc",1,3,235168215.924875
"918",151,"DityCux","duo","DR","CS",1,9,6630682.77983671
"919",373,"DityCux","quattro","ADRT","CS",1,6,16576706.9495918
"920",477,"DityCux","quattro","ADGR","inc+fluc",3,9,23207389.7294285
"921",159,"DityCux","duo","DT","CS",3,12,37131823.5670856
"922",273,"DityCux","duo","DR","inc",3,9,64096600.2050882
"923",153,"DityCux","duo","DR","CS",3,9,7735796.57647616
"924",433,"DityCux","quattro","ADRT","inc",1,3,55697735.3506284
"925",440,"DityCux","quattro","ADGT","inc",2,9,24312503.5260679
"926",488,"DityCux","MIX","ADGRT","fluct",2,1,9282955.8917714
"927",278,"DityCux","duo","DT","inc",2,9,141454565.96985
"928",477,"DityCux","quattro","ADGR","inc+fluc",3,6,198036392.35779
"929",434,"DityCux","quattro","ADRT","inc",2,3,34037504.9364951
"930",153,"DityCux","duo","DR","CS",3,6,88409103.7311562
"931",499,"DityCux","MIX","ADGRT","inc+fluc",1,9,75147738.1714827
"932",147,"DityCux","duo","DG","CS",3,3,160904568.790704
"933",440,"DityCux","quattro","ADGT","inc",2,6,70727282.9849249
"934",265,"DityCux","duo","DG","inc",1,1,10609092.4477387
"935",181,"DityCux","duo","AD","fluct",1,15,123772745.223619
"936",39,"DityCux","mono","D","fluct",3,6,309431863.059047
"937",303,"DityCux","duo","AD","inc+fluc",3,15,62991486.4084488
"938",182,"DityCux","duo","AD","fluct",2,15,86640921.656533
"939",183,"DityCux","duo","AD","fluct",3,15,37131823.5670856
"940",278,"DityCux","duo","DT","inc",2,3,99018196.1788949
"941",272,"DityCux","duo","DR","inc",2,1,2652273.11193468
"942",440,"DityCux","quattro","ADGT","inc",2,3,43320460.8282665
"943",380,"DityCux","quattro","ADGT","CS",2,3,40226142.197676
"944",451,"DityCux","quattro","DGRT","inc+fluc",1,9,19892048.3395101
"945",379,"DityCux","quattro","ADGT","CS",1,1,9282955.8917714
"946",7,"DityCux","mono","D","CS",1,12,311200045.13367
"947",381,"DityCux","quattro","ADGT","CS",3,3,77357965.7647616
"948",9,"DityCux","mono","D","CS",3,12,353636414.924625
"949",500,"DityCux","MIX","ADGRT","inc+fluc",2,3,24754549.0447237
"950",279,"DityCux","duo","DT","inc",3,1,1326136.55596734
"951",302,"DityCux","duo","AD","inc+fluc",2,9,86198876.1378773
"952",501,"DityCux","MIX","ADGRT","inc+fluc",3,3,12377274.5223619
"953",242,"DityCux","duo","AD","inc",2,1,15913638.6716081
"954",303,"DityCux","duo","AD","inc+fluc",3,9,90619331.324435
"955",8,"DityCux","mono","D","CS",2,9,131508541.800095
"956",39,"DityCux","mono","D","fluct",3,15,57465917.4252515
"957",433,"DityCux","quattro","ADRT","inc",1,6,35363641.4924625
"958",385,"DityCux","quattro","ADGR","CS",1,1,27848867.6753142
"959",451,"DityCux","quattro","DGRT","inc+fluc",1,3,46414779.458857
"960",279,"DityCux","duo","DT","inc",3,12,12377274.5223619
"961",501,"DityCux","MIX","ADGRT","inc+fluc",3,1,6188637.26118093
"962",183,"DityCux","duo","AD","fluct",3,6,90177285.8057793
"963",38,"DityCux","mono","D","fluct",2,12,173281843.313066
"964",325,"DityCux","duo","DG","inc+fluc",1,12,397840966.790203
"965",181,"DityCux","duo","AD","fluct",1,3,74263647.1341712
"966",451,"DityCux","quattro","DGRT","inc+fluc",1,1,24754549.0447237
"967",326,"DityCux","duo","DG","inc+fluc",2,12,406681877.163318
"968",500,"DityCux","MIX","ADGRT","inc+fluc",2,12,99018196.1788949
"969",207,"DityCux","duo","DG","fluct",3,12,569354628.028646
"970",452,"DityCux","quattro","DGRT","inc+fluc",2,1,27848867.6753142
"971",181,"DityCux","duo","AD","fluct",1,1,12377274.5223619
"972",325,"DityCux","duo","DG","inc+fluc",1,9,994602416.975507
"973",302,"DityCux","duo","AD","inc+fluc",2,1,15913638.6716081
"974",326,"DityCux","duo","DG","inc+fluc",2,9,251965945.633795
"975",393,"DityCux","quattro","DGRT","fluct",3,1,21660230.4141333
"976",374,"DityCux","quattro","ADRT","CS",2,1,18565911.7835428
"977",463,"DityCux","quattro","ADRT","inc+fluc",1,6,22102275.932789
"978",331,"DityCux","duo","DR","inc+fluc",1,9,131508541.800095
"979",69,"DityCux","mono","D","inc",3,12,173281843.313066
"980",332,"DityCux","duo","DR","inc+fluc",2,9,81778420.9513194
"981",219,"DityCux","duo","DT","fluct",3,12,12377274.5223619
"982",331,"DityCux","duo","DR","inc+fluc",1,6,25417617.3227074
"983",327,"DityCux","duo","DG","inc+fluc",3,6,66306827.7983671
"984",337,"DityCux","duo","DT","inc+fluc",1,9,123772745.223619
"985",476,"DityCux","quattro","ADGR","inc+fluc",2,15,49509098.0894474
"986",403,"DityCux","quattro","ADRT","fluct",1,3,30943186.3059047
"987",338,"DityCux","duo","DT","inc+fluc",2,9,114931834.850503
"988",205,"DityCux","duo","DG","fluct",1,3,198036392.35779
"989",410,"DityCux","quattro","ADGT","fluct",2,9,53045462.2386937
"990",404,"DityCux","quattro","ADRT","fluct",2,3,40226142.197676
"991",463,"DityCux","quattro","ADRT","inc+fluc",1,1,9282955.8917714
"992",97,"DityCux","mono","D","inc+fluc",1,12,83988648.5445983
"993",470,"DityCux","quattro","ADGT","inc+fluc",2,6,86640921.656533
"994",99,"DityCux","mono","D","inc+fluc",3,12,57465917.4252515
"995",241,"DityCux","duo","AD","inc",1,15,9282955.8917714
"996",415,"DityCux","quattro","ADGR","fluct",1,9,42436369.790955
"997",219,"DityCux","duo","DT","fluct",3,6,57465917.4252515
"998",482,"DityCux","MIX","ADGRT","CS",2,15,21660230.4141333
"999",243,"DityCux","duo","AD","inc",3,15,114489789.331847
"1000",331,"DityCux","duo","DR","inc+fluc",1,1,5304546.22386937
"1001",475,"DityCux","quattro","ADGR","inc+fluc",1,6,222790941.402514
"1002",211,"DityCux","duo","DR","fluct",1,1,5304546.22386937
"1003",410,"DityCux","quattro","ADGT","fluct",2,3,31827277.3432162
"1004",219,"DityCux","duo","DT","fluct",3,3,136150019.74598
"1005",476,"DityCux","quattro","ADGR","inc+fluc",2,6,123772745.223619
"1006",337,"DityCux","duo","DT","inc+fluc",1,1,6630682.77983671
"1007",411,"DityCux","quattro","ADGT","fluct",3,3,47740916.0148243
"1008",123,"DityCux","duo","AD","CS",3,12,24754549.0447237
"1009",475,"DityCux","quattro","ADGR","inc+fluc",1,3,40226142.197676
"1010",361,"DityCux","quattro","DGRT","CS",1,9,16576706.9495918
"1011",415,"DityCux","quattro","ADGR","fluct",1,3,40226142.197676
"1012",242,"DityCux","duo","AD","inc",2,9,79568193.3580405
"1013",476,"DityCux","quattro","ADGR","inc+fluc",2,3,40226142.197676
"1014",98,"DityCux","mono","D","inc+fluc",2,3,22102275.932789
"1015",416,"DityCux","quattro","ADGR","fluct",2,3,37131823.5670856
"1016",99,"DityCux","mono","D","inc+fluc",3,3,66306827.7983671
"1017",422,"DityCux","quattro","DGRT","inc",2,6,69622169.1882855
"1018",482,"DityCux","MIX","ADGRT","CS",2,6,20997162.1361496
"1019",417,"DityCux","quattro","ADGR","fluct",3,3,55697735.3506284
"1020",68,"DityCux","mono","D","inc",2,1,7072728.29849249
"1021",265,"DityCux","duo","DG","inc",1,15,109406265.867306
"1022",266,"DityCux","duo","DG","inc",2,15,78463079.5614011
"1023",493,"DityCux","MIX","ADGRT","inc",1,15,30943186.3059047
"1024",435,"DityCux","quattro","ADRT","inc",3,15,0
"1025",265,"DityCux","duo","DG","inc",1,12,185659117.835428
"1026",375,"DityCux","quattro","ADRT","CS",3,15,6188637.26118093
"1027",272,"DityCux","duo","DR","inc",2,15,7956819.33580405
"1028",152,"DityCux","duo","DR","CS",2,15,17681820.7462312
"1029",267,"DityCux","duo","DG","inc",3,12,185659117.835428
"1030",361,"DityCux","quattro","DGRT","CS",1,1,24754549.0447237
"1031",277,"DityCux","duo","DT","inc",1,15,6188637.26118093
"1032",121,"DityCux","duo","AD","CS",1,1,12377274.5223619
"1033",265,"DityCux","duo","DG","inc",1,9,322693228.61872
"1034",488,"DityCux","MIX","ADGRT","fluct",2,6,16576706.9495918
"1035",152,"DityCux","duo","DR","CS",2,12,3094318.63059047
"1036",146,"DityCux","duo","DG","CS",2,9,335954594.178393
"1037",363,"DityCux","quattro","DGRT","CS",3,1,21660230.4141333
"1038",489,"DityCux","MIX","ADGRT","fluct",3,6,37573869.0857414
"1039",271,"DityCux","duo","DR","inc",1,9,38678982.8823808
"1040",265,"DityCux","duo","DG","inc",1,6,70727282.9849249
"1041",272,"DityCux","duo","DR","inc",2,9,38678982.8823808
"1042",158,"DityCux","duo","DT","CS",2,12,12377274.5223619
"1043",500,"DityCux","MIX","ADGRT","inc+fluc",2,15,9282955.8917714
"1044",152,"DityCux","duo","DR","CS",2,9,3315341.38991836
"1045",147,"DityCux","duo","DG","CS",3,6,132613655.596734
"1046",379,"DityCux","quattro","ADGT","CS",1,9,25196594.5633795
"1047",157,"DityCux","duo","DT","CS",1,9,20997162.1361496
"1048",272,"DityCux","duo","DR","inc",2,6,62991486.4084488
"1049",279,"DityCux","duo","DT","inc",3,9,137034110.783292
"1050",145,"DityCux","duo","DG","CS",1,3,123772745.223619
"1051",159,"DityCux","duo","DT","CS",3,9,154715931.529523
"1052",277,"DityCux","duo","DT","inc",1,6,83988648.5445983
"1053",433,"DityCux","quattro","ADRT","inc",1,1,9282955.8917714
"1054",495,"DityCux","MIX","ADGRT","inc",3,6,11051137.9663945
"1055",278,"DityCux","duo","DT","inc",2,6,79568193.3580405
"1056",447,"DityCux","quattro","ADGR","inc",3,12,70727282.9849249
"1057",500,"DityCux","MIX","ADGRT","inc+fluc",2,9,75147738.1714827
"1058",441,"DityCux","quattro","ADGT","inc",3,6,48625007.0521359
"1059",439,"DityCux","quattro","ADGT","inc",1,3,64980691.2423998
"1060",446,"DityCux","quattro","ADGR","inc",2,9,24312503.5260679
"1061",453,"DityCux","quattro","DGRT","inc+fluc",3,15,6188637.26118093
"1062",375,"DityCux","quattro","ADRT","CS",3,1,3094318.63059047
"1063",151,"DityCux","duo","DR","CS",1,1,5304546.22386937
"1064",500,"DityCux","MIX","ADGRT","inc+fluc",2,6,30943186.3059047
"1065",302,"DityCux","duo","AD","inc+fluc",2,12,119352290.037061
"1066",385,"DityCux","quattro","ADGR","CS",1,6,92829558.917714
"1067",182,"DityCux","duo","AD","fluct",2,12,198036392.35779
"1068",501,"DityCux","MIX","ADGRT","inc+fluc",3,6,39784096.6790203
"1069",391,"DityCux","quattro","DGRT","fluct",1,9,7735796.57647616
"1070",380,"DityCux","quattro","ADGT","CS",2,1,24754549.0447237
"1071",445,"DityCux","quattro","ADGR","inc",1,3,52603416.7200379
"1072",452,"DityCux","quattro","DGRT","inc+fluc",2,9,16576706.9495918
"1073",499,"DityCux","MIX","ADGRT","inc+fluc",1,1,12377274.5223619
"1074",463,"DityCux","quattro","ADRT","inc+fluc",1,15,3094318.63059047
"1075",446,"DityCux","quattro","ADGR","inc",2,3,52603416.7200379
"1076",183,"DityCux","duo","AD","fluct",3,9,35805687.0111182
"1077",9,"DityCux","mono","D","CS",3,9,96144900.3076323
"1078",392,"DityCux","quattro","DGRT","fluct",2,6,26522731.1193468
"1079",452,"DityCux","quattro","DGRT","inc+fluc",2,6,28732958.7126257
"1080",302,"DityCux","duo","AD","inc+fluc",2,6,61886372.6118093
"1081",8,"DityCux","mono","D","CS",2,6,256386400.820353
"1082",326,"DityCux","duo","DG","inc+fluc",2,15,49730120.8487753
"1083",386,"DityCux","quattro","ADGR","CS",2,1,18565911.7835428
"1084",463,"DityCux","quattro","ADRT","inc+fluc",1,12,49509098.0894474
"1085",452,"DityCux","quattro","DGRT","inc+fluc",2,3,58792053.9812188
"1086",301,"DityCux","duo","AD","inc+fluc",1,3,24754549.0447237
"1087",332,"DityCux","duo","DR","inc+fluc",2,15,18565911.7835428
"1088",212,"DityCux","duo","DR","fluct",2,15,0
"1089",8,"DityCux","mono","D","CS",2,3,83988648.5445983
"1090",393,"DityCux","quattro","DGRT","fluct",3,3,71169328.5035807
"1091",337,"DityCux","duo","DT","inc+fluc",1,15,10609092.4477387
"1092",217,"DityCux","duo","DT","fluct",1,15,31827277.3432162
"1093",392,"DityCux","quattro","DGRT","fluct",2,1,27848867.6753142
"1094",403,"DityCux","quattro","ADRT","fluct",1,9,18565911.7835428
"1095",339,"DityCux","duo","DT","inc+fluc",3,15,40226142.197676
"1096",206,"DityCux","duo","DG","fluct",2,9,526034167.200379
"1097",213,"DityCux","duo","DR","fluct",3,12,9282955.8917714
"1098",404,"DityCux","quattro","ADRT","fluct",2,9,34037504.9364951
"1099",207,"DityCux","duo","DG","fluct",3,9,344795504.551509
"1100",470,"DityCux","quattro","ADGT","inc+fluc",2,12,297054588.536685
"1101",411,"DityCux","quattro","ADGT","fluct",3,15,24754549.0447237
"1102",338,"DityCux","duo","DT","inc+fluc",2,12,12377274.5223619
"1103",206,"DityCux","duo","DG","fluct",2,6,123772745.223619
"1104",212,"DityCux","duo","DR","fluct",2,9,14366479.3563129
"1105",463,"DityCux","quattro","ADRT","inc+fluc",1,3,30943186.3059047
"1106",409,"DityCux","quattro","ADGT","fluct",1,9,31827277.3432162
"1107",217,"DityCux","duo","DT","fluct",1,9,729375105.782038
"1108",475,"DityCux","quattro","ADGR","inc+fluc",1,12,111395470.701257
"1109",405,"DityCux","quattro","ADRT","fluct",3,6,44204551.8655781
"1110",69,"DityCux","mono","D","inc",3,9,645386457.23744
"1111",219,"DityCux","duo","DT","fluct",3,9,128193200.410176
"1112",37,"DityCux","mono","D","fluct",1,1,1768182.07462312
"1113",38,"DityCux","mono","D","fluct",2,1,1768182.07462312
"1114",417,"DityCux","quattro","ADGR","fluct",3,15,3094318.63059047
"1115",98,"DityCux","mono","D","inc+fluc",2,12,101670469.29083
"1116",361,"DityCux","quattro","DGRT","CS",1,15,18565911.7835428
"1117",421,"DityCux","quattro","DGRT","inc",1,15,9282955.8917714
"1118",273,"DityCux","duo","DR","inc",3,12,12156251.763034
"1119",206,"DityCux","duo","DG","fluct",2,1,5304546.22386937
"1120",362,"DityCux","quattro","DGRT","CS",2,15,3094318.63059047
"1121",416,"DityCux","quattro","ADGR","fluct",2,9,74263647.1341712
"1122",421,"DityCux","quattro","DGRT","inc",1,12,3094318.63059047
"1123",69,"DityCux","mono","D","inc",3,3,68959100.9103018
"1124",241,"DityCux","duo","AD","inc",1,12,420827333.760303
"1125",212,"DityCux","duo","DR","fluct",2,1,2652273.11193468
"1126",471,"DityCux","quattro","ADGT","inc+fluc",3,3,198036392.35779
"1127",97,"DityCux","mono","D","inc+fluc",1,6,234284124.887564
"1128",213,"DityCux","duo","DR","fluct",3,1,3978409.66790203
"1129",99,"DityCux","mono","D","inc+fluc",3,1,7072728.29849249
"1130",338,"DityCux","duo","DT","inc+fluc",2,1,11935229.0037061
"1131",265,"DityCux","duo","DG","inc",1,3,99018196.1788949
"1132",241,"DityCux","duo","AD","inc",1,9,55255689.8319726
"1133",417,"DityCux","quattro","ADGR","fluct",3,6,371318235.670856
"1134",482,"DityCux","MIX","ADGRT","CS",2,9,30943186.3059047
"1135",122,"DityCux","duo","AD","CS",2,9,13261365.5596734
"1136",487,"DityCux","MIX","ADGRT","fluct",1,12,68075009.8729902
"1137",475,"DityCux","quattro","ADGR","inc+fluc",1,1,27848867.6753142
"1138",415,"DityCux","quattro","ADGR","fluct",1,1,27848867.6753142
"1139",373,"DityCux","quattro","ADRT","CS",1,15,0
"1140",362,"DityCux","quattro","DGRT","CS",2,6,24312503.5260679
"1141",488,"DityCux","MIX","ADGRT","fluct",2,12,3094318.63059047
"1142",416,"DityCux","quattro","ADGR","fluct",2,1,18565911.7835428
"1143",481,"DityCux","MIX","ADGRT","CS",1,3,27848867.6753142
"1144",145,"DityCux","duo","DG","CS",1,15,154715931.529523
"1145",433,"DityCux","quattro","ADRT","inc",1,12,49509098.0894474
"1146",482,"DityCux","MIX","ADGRT","CS",2,3,34037504.9364951
"1147",422,"DityCux","quattro","DGRT","inc",2,3,58792053.9812188
"1148",488,"DityCux","MIX","ADGRT","fluct",2,9,26522731.1193468
"1149",242,"DityCux","duo","AD","inc",2,3,123772745.223619
"1150",266,"DityCux","duo","DG","inc",2,12,287329587.126257
"1151",243,"DityCux","duo","AD","inc",3,3,160904568.790704
"1152",483,"DityCux","MIX","ADGRT","CS",3,3,15471593.1529523
"1153",157,"DityCux","duo","DT","CS",1,15,61886372.6118093
"1154",362,"DityCux","quattro","DGRT","CS",2,1,27848867.6753142
"1155",272,"DityCux","duo","DR","inc",2,12,9946024.16975507
"1156",145,"DityCux","duo","DG","CS",1,9,256386400.820353
"1157",423,"DityCux","quattro","DGRT","inc",3,1,21660230.4141333
"1158",445,"DityCux","quattro","ADGR","inc",1,1,27848867.6753142
"1159",381,"DityCux","quattro","ADGT","CS",3,15,6188637.26118093
"1160",499,"DityCux","MIX","ADGRT","inc+fluc",1,15,15471593.1529523
"1161",435,"DityCux","quattro","ADRT","inc",3,9,9946024.16975507
"1162",440,"DityCux","quattro","ADGT","inc",2,12,48625007.0521359
"1163",488,"DityCux","MIX","ADGRT","fluct",2,3,40226142.197676
"1164",439,"DityCux","quattro","ADGT","inc",1,9,33153413.8991836
"1165",434,"DityCux","quattro","ADRT","inc",2,6,30943186.3059047
"1166",374,"DityCux","quattro","ADRT","CS",2,6,17681820.7462312
"1167",386,"DityCux","quattro","ADGR","CS",2,15,0
"1168",495,"DityCux","MIX","ADGRT","inc",3,9,66306827.7983671
"1169",373,"DityCux","quattro","ADRT","CS",1,3,58792053.9812188
"1170",375,"DityCux","quattro","ADRT","CS",3,6,17681820.7462312
"1171",183,"DityCux","duo","AD","fluct",3,3,99018196.1788949
"1172",152,"DityCux","duo","DR","CS",2,6,74042624.3748433
"1173",493,"DityCux","MIX","ADGRT","inc",1,3,52603416.7200379
"1174",146,"DityCux","duo","DG","CS",2,3,160904568.790704
"1175",446,"DityCux","quattro","ADGR","inc",2,12,79568193.3580405
"1176",501,"DityCux","MIX","ADGRT","inc+fluc",3,12,136150019.74598
"1177",272,"DityCux","duo","DR","inc",2,3,136150019.74598
"1178",151,"DityCux","duo","DR","CS",1,3,14366479.3563129
"1179",499,"DityCux","MIX","ADGRT","inc+fluc",1,6,38678982.8823808
"1180",146,"DityCux","duo","DG","CS",2,1,5304546.22386937
"1181",387,"DityCux","quattro","ADGR","CS",3,12,74263647.1341712
"1182",495,"DityCux","MIX","ADGRT","inc",3,3,24754549.0447237
"1183",501,"DityCux","MIX","ADGRT","inc+fluc",3,9,79568193.3580405
"1184",494,"DityCux","MIX","ADGRT","inc",2,1,9282955.8917714
"1185",301,"DityCux","duo","AD","inc+fluc",1,12,106090924.477387
"1186",152,"DityCux","duo","DR","CS",2,1,2652273.11193468
"1187",273,"DityCux","duo","DR","inc",3,1,3978409.66790203
"1188",387,"DityCux","quattro","ADGR","CS",3,9,26522731.1193468
"1189",495,"DityCux","MIX","ADGRT","inc",3,1,46414779.458857
"1190",157,"DityCux","duo","DT","CS",1,1,6630682.77983671
"1191",8,"DityCux","mono","D","CS",2,12,671909188.356787
"1192",447,"DityCux","quattro","ADGR","inc",3,6,17681820.7462312
"1193",301,"DityCux","duo","AD","inc+fluc",1,9,82883534.7479589
"1194",159,"DityCux","duo","DT","CS",3,1,1326136.55596734
"1195",391,"DityCux","quattro","DGRT","fluct",1,6,34258527.695823
"1196",453,"DityCux","quattro","DGRT","inc+fluc",3,9,20997162.1361496
"1197",182,"DityCux","duo","AD","fluct",2,9,61002281.5744977
"1198",218,"DityCux","duo","DT","fluct",2,6,75147738.1714827
"1199",38,"DityCux","mono","D","fluct",2,15,59676145.0185304
"1200",386,"DityCux","quattro","ADGR","CS",2,3,52603416.7200379
"1201",447,"DityCux","quattro","ADGR","inc",3,3,37131823.5670856
"1202",404,"DityCux","quattro","ADRT","fluct",2,15,0
"1203",182,"DityCux","duo","AD","fluct",2,6,116700016.925126
"1204",7,"DityCux","mono","D","CS",1,6,318272773.432162
"1205",303,"DityCux","duo","AD","inc+fluc",3,6,48625007.0521359
"1206",447,"DityCux","quattro","ADGR","inc",3,1,15471593.1529523
"1207",465,"DityCux","quattro","ADRT","inc+fluc",3,15,9282955.8917714
"1208",403,"DityCux","quattro","ADRT","fluct",1,12,12377274.5223619
"1209",302,"DityCux","duo","AD","inc+fluc",2,3,86640921.656533
"1210",391,"DityCux","quattro","DGRT","fluct",1,1,24754549.0447237
"1211",416,"DityCux","quattro","ADGR","fluct",2,6,185659117.835428
"1212",463,"DityCux","quattro","ADRT","inc+fluc",1,9,23207389.7294285
"1213",67,"DityCux","mono","D","inc",1,15,121562517.63034
"1214",331,"DityCux","duo","DR","inc+fluc",1,12,12156251.763034
"1215",69,"DityCux","mono","D","inc",3,15,53045462.2386937
"1216",205,"DityCux","duo","DG","fluct",1,9,236494352.480843
"1217",453,"DityCux","quattro","DGRT","inc+fluc",3,1,21660230.4141333
"1218",7,"DityCux","mono","D","CS",1,1,1768182.07462312
"1219",337,"DityCux","duo","DT","inc+fluc",1,12,37131823.5670856
"1220",67,"DityCux","mono","D","inc",1,12,297054588.536685
"1221",465,"DityCux","quattro","ADRT","inc+fluc",3,9,13261365.5596734
"1222",68,"DityCux","mono","D","inc",2,12,222790941.402514
"1223",122,"DityCux","duo","AD","CS",2,6,408450059.237941
"1224",469,"DityCux","quattro","ADGT","inc+fluc",1,9,101670469.29083
"1225",333,"DityCux","duo","DR","inc+fluc",3,9,113826721.053864
"1226",404,"DityCux","quattro","ADRT","fluct",2,6,17681820.7462312
"1227",410,"DityCux","quattro","ADGT","fluct",2,12,358940961.148494
"1228",38,"DityCux","mono","D","fluct",2,3,48625007.0521359
"1229",98,"DityCux","mono","D","inc+fluc",2,15,51719325.6827264
