"","no","temp","nut","species","rep","V_ml","magn","plate","Alg","speciesID","GF","counts","sampling","A1","A2","A3","A4","A5","At_mm","Afield","cells_ml"
"1492",206,"fluct","Low","duo",2,0.5,20,24,"A2","Guido",14,7,3,"D","G",NA,NA,NA,78,0.25,15288
"1493",207,"fluct","Low","duo",3,0.5,20,24,"A1","DityCux",14,15,3,"D","G",NA,NA,NA,78,0.25,32760
"1494",207,"fluct","Low","duo",3,0.5,20,24,"A2","Guido",14,4,3,"D","G",NA,NA,NA,78,0.25,8736
"1495",208,"fluct","HI","duo",1,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1496",208,"fluct","HI","duo",1,0.5,20,NA,"A2","Guido",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1497",209,"fluct","HI","duo",2,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1498",209,"fluct","HI","duo",2,0.5,20,NA,"A2","Guido",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1499",210,"fluct","HI","duo",3,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1500",210,"fluct","HI","duo",3,0.5,20,NA,"A2","Guido",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1501",211,"fluct","Low","duo",1,0.5,10,25,"A1","DityCux",5,10,3,"D","R",NA,NA,NA,78,1,1950
"1502",211,"fluct","Low","duo",1,0.5,10,25,"A2","Rhizo",5,17,3,"D","R",NA,NA,NA,78,1,3315
"1503",212,"fluct","Low","duo",2,0.5,10,25,"A1","DityCux",5,5,3,"D","R",NA,NA,NA,78,1,975
"1504",212,"fluct","Low","duo",2,0.5,10,25,"A2","Rhizo",5,3,3,"D","R",NA,NA,NA,78,1,585
"1505",213,"fluct","Low","duo",3,0.5,10,25,"A1","DityCux",5,14,3,"D","R",NA,NA,NA,78,1,2730
"1506",213,"fluct","Low","duo",3,0.5,10,25,"A2","Rhizo",5,3,3,"D","R",NA,NA,NA,78,1,585
"1507",214,"fluct","HI","duo",1,0.5,10,NA,"A1","DityCux",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1508",214,"fluct","HI","duo",1,0.5,10,NA,"A2","Rhizo",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1509",215,"fluct","HI","duo",2,0.5,10,NA,"A1","DityCux",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1510",215,"fluct","HI","duo",2,0.5,10,NA,"A2","Rhizo",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1511",216,"fluct","HI","duo",3,0.5,10,NA,"A1","DityCux",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1512",216,"fluct","HI","duo",3,0.5,10,NA,"A2","Rhizo",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1513",217,"fluct","Low","duo",1,0.5,20,25,"A1","DityCux",5,3,3,"D","T",NA,NA,NA,78,0.25,2340
"1514",217,"fluct","Low","duo",1,0.5,20,25,"A2","ThalaCux",5,14,3,"D","T",NA,NA,NA,78,0.25,10920
"1515",218,"fluct","Low","duo",2,0.5,20,25,"A1","DityCux",14,5,3,"D","T",NA,NA,NA,78,0.25,10920
"1516",218,"fluct","Low","duo",2,0.5,20,25,"A2","ThalaCux",14,21,3,"D","T",NA,NA,NA,78,0.25,45864
"1517",219,"fluct","Low","duo",3,0.5,20,25,"A1","DityCux",14,11,3,"D","T",NA,NA,NA,78,0.25,24024
"1518",219,"fluct","Low","duo",3,0.5,20,25,"A2","ThalaCux",14,17,3,"D","T",NA,NA,NA,78,0.25,37128
"1519",220,"fluct","HI","duo",1,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1520",220,"fluct","HI","duo",1,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1521",221,"fluct","HI","duo",2,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1522",221,"fluct","HI","duo",2,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1523",222,"fluct","HI","duo",3,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1524",222,"fluct","HI","duo",3,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1525",223,"fluct","Low","duo",1,0.5,20,25,"A1","Guido",14,1,3,"G","R",NA,NA,NA,78,0.25,2184
"1526",223,"fluct","Low","duo",1,0.5,10,25,"A2","Rhizo",14,15,3,"G","R",NA,NA,NA,78,1,8190
"1527",224,"fluct","Low","duo",2,0.5,20,25,"A1","Guido",14,1,3,"G","R",NA,NA,NA,78,0.25,2184
"1528",224,"fluct","Low","duo",2,0.5,10,25,"A2","Rhizo",14,18,3,"G","R",NA,NA,NA,78,1,9828
"1529",225,"fluct","Low","duo",3,0.5,20,25,"A1","Guido",14,1,3,"G","R",NA,NA,NA,78,0.25,2184
"1530",225,"fluct","Low","duo",3,0.5,10,25,"A2","Rhizo",14,8,3,"G","R",NA,NA,NA,78,1,4368
"1531",226,"fluct","HI","duo",1,0.5,20,NA,"A1","Guido",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1532",226,"fluct","HI","duo",1,0.5,20,NA,"A2","Rhizo",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1533",227,"fluct","HI","duo",2,0.5,20,NA,"A1","Guido",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1534",227,"fluct","HI","duo",2,0.5,20,NA,"A2","Rhizo",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1535",228,"fluct","HI","duo",3,0.5,20,NA,"A1","Guido",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1536",228,"fluct","HI","duo",3,0.5,20,NA,"A2","Rhizo",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1537",229,"fluct","Low","duo",1,0.5,20,25,"A1","Guido",14,1,3,"G","T",NA,NA,NA,78,0.25,2184
"1538",229,"fluct","Low","duo",1,0.5,20,25,"A2","ThalaCux",14,29,3,"G","T",NA,NA,NA,78,0.25,63336
"1539",230,"fluct","Low","duo",2,0.5,20,25,"A1","Guido",14,4,3,"G","T",NA,NA,NA,78,0.25,8736
"1540",230,"fluct","Low","duo",2,0.5,20,25,"A2","ThalaCux",14,20,3,"G","T",NA,NA,NA,78,0.25,43680
"1541",231,"fluct","Low","duo",3,0.5,20,25,"A1","Guido",14,2,3,"G","T",NA,NA,NA,78,0.25,4368
"1542",231,"fluct","Low","duo",3,0.5,20,25,"A2","ThalaCux",14,27,3,"G","T",NA,NA,NA,78,0.25,58968
"1543",232,"fluct","HI","duo",1,0.5,20,NA,"A1","Guido",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1544",232,"fluct","HI","duo",1,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1545",233,"fluct","HI","duo",2,0.5,20,NA,"A1","Guido",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1546",233,"fluct","HI","duo",2,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1547",234,"fluct","HI","duo",3,0.5,20,NA,"A1","Guido",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1548",234,"fluct","HI","duo",3,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1549",235,"fluct","Low","duo",1,0.5,10,25,"A1","Rhizo",14,17,3,"R","T",NA,NA,NA,78,1,9282
"1550",235,"fluct","Low","duo",1,0.5,20,25,"A2","ThalaCux",14,13,3,"R","T",NA,NA,NA,78,0.25,28392
"1551",236,"fluct","Low","duo",2,0.5,10,25,"A1","Rhizo",14,9,3,"R","T",NA,NA,NA,78,1,4914
"1552",236,"fluct","Low","duo",2,0.5,20,25,"A2","ThalaCux",14,24,3,"R","T",NA,NA,NA,78,0.25,52416
"1553",237,"fluct","Low","duo",3,0.5,10,25,"A1","Rhizo",14,8,3,"R","T",NA,NA,NA,78,1,4368
"1554",237,"fluct","Low","duo",3,0.5,20,25,"A2","ThalaCux",14,32,3,"R","T",NA,NA,NA,78,0.25,69888
"1555",238,"fluct","HI","duo",1,0.5,10,NA,"A1","Rhizo",NA,NA,3,"R","T",NA,NA,NA,78,1,NA
"1556",238,"fluct","HI","duo",1,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"R","T",NA,NA,NA,78,0.25,NA
"1557",239,"fluct","HI","duo",2,0.5,10,NA,"A1","Rhizo",NA,NA,3,"R","T",NA,NA,NA,78,1,NA
"1558",239,"fluct","HI","duo",2,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"R","T",NA,NA,NA,78,0.25,NA
"1559",240,"fluct","HI","duo",3,0.5,10,NA,"A1","Rhizo",NA,NA,3,"R","T",NA,NA,NA,78,1,NA
"1560",240,"fluct","HI","duo",3,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"R","T",NA,NA,NA,78,0.25,NA
"1561",241,"inc","Low","duo",1,0.5,40,26,"A1","Asterio",5,22,3,"A","D",NA,NA,NA,78,0.0625,68640
"1562",241,"inc","Low","duo",1,0.5,20,26,"A2","DityCux",14,7,3,"A","D",NA,NA,NA,78,0.25,15288
"1563",242,"inc","Low","duo",2,0.5,40,26,"A1","Asterio",5,33,3,"A","D",NA,NA,NA,78,0.0625,102960
"1564",242,"inc","Low","duo",2,0.5,20,26,"A2","DityCux",14,10,3,"A","D",NA,NA,NA,78,0.25,21840
"1565",243,"inc","Low","duo",3,0.5,40,26,"A1","Asterio",5,57,3,"A","D",NA,NA,NA,78,0.0625,177840
"1566",243,"inc","Low","duo",3,0.5,20,26,"A2","DityCux",14,13,3,"A","D",NA,NA,NA,78,0.25,28392
"1567",244,"inc","HI","duo",1,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","D",NA,NA,NA,78,0.0625,NA
"1568",244,"inc","HI","duo",1,0.5,10,NA,"A2","DityCux",NA,NA,3,"A","D",NA,NA,NA,78,1,NA
"1569",245,"inc","HI","duo",2,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","D",NA,NA,NA,78,0.0625,NA
"1570",245,"inc","HI","duo",2,0.5,10,NA,"A2","DityCux",NA,NA,3,"A","D",NA,NA,NA,78,1,NA
"1571",246,"inc","HI","duo",3,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","D",NA,NA,NA,78,0.0625,NA
"1572",246,"inc","HI","duo",3,0.5,10,NA,"A2","DityCux",NA,NA,3,"A","D",NA,NA,NA,78,1,NA
"1573",247,"inc","Low","duo",1,0.5,40,26,"A1","Asterio",5,30,3,"A","G",NA,NA,NA,78,0.0625,93600
"1574",247,"inc","Low","duo",1,0.5,20,26,"A2","Guido",5,41,3,"A","G",NA,NA,NA,78,0.25,31980
"1575",248,"inc","Low","duo",2,0.5,40,26,"A1","Asterio",5,30,3,"A","G",NA,NA,NA,78,0.0625,93600
"1576",248,"inc","Low","duo",2,0.5,20,26,"A2","Guido",14,3,3,"A","G",NA,NA,NA,78,0.25,6552
"1577",249,"inc","Low","duo",3,0.5,40,26,"A1","Asterio",14,24,3,"A","G",NA,NA,NA,78,0.0625,209664
"1578",249,"inc","Low","duo",3,0.5,20,26,"A2","Guido",14,1,3,"A","G",NA,NA,NA,78,0.25,2184
"1579",250,"inc","HI","duo",1,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","G",NA,NA,NA,78,0.0625,NA
"1580",250,"inc","HI","duo",1,0.5,20,NA,"A2","Guido",NA,NA,3,"A","G",NA,NA,NA,78,0.25,NA
"1581",251,"inc","HI","duo",2,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","G",NA,NA,NA,78,0.0625,NA
"1582",251,"inc","HI","duo",2,0.5,20,NA,"A2","Guido",NA,NA,3,"A","G",NA,NA,NA,78,0.25,NA
"1583",252,"inc","HI","duo",3,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","G",NA,NA,NA,78,0.0625,NA
"1584",252,"inc","HI","duo",3,0.5,20,NA,"A2","Guido",NA,NA,3,"A","G",NA,NA,NA,78,0.25,NA
"1585",253,"inc","Low","duo",1,0.5,40,26,"A1","Asterio",5,23,3,"A","R",NA,NA,NA,78,0.0625,71760
"1586",253,"inc","Low","duo",1,0.5,10,26,"A2","Rhizo",14,8,3,"A","R",NA,NA,NA,78,1,4368
"1587",254,"inc","Low","duo",2,0.5,40,26,"A1","Asterio",5,46,3,"A","R",NA,NA,NA,78,0.0625,143520
"1588",254,"inc","Low","duo",2,0.5,10,26,"A2","Rhizo",14,11,3,"A","R",NA,NA,NA,78,1,6006
"1589",255,"inc","Low","duo",3,0.5,40,26,"A1","Asterio",14,83,3,"A","R",NA,NA,NA,78,0.0625,725088
"1590",255,"inc","Low","duo",3,0.5,10,26,"A2","Rhizo",14,11,3,"A","R",NA,NA,NA,78,1,6006
"1591",256,"inc","HI","duo",1,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","R",NA,NA,NA,78,0.0625,NA
"1592",256,"inc","HI","duo",1,0.5,10,NA,"A2","Rhizo",NA,NA,3,"A","R",NA,NA,NA,78,1,NA
"1593",257,"inc","HI","duo",2,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","R",NA,NA,NA,78,0.0625,NA
"1594",257,"inc","HI","duo",2,0.5,10,NA,"A2","Rhizo",NA,NA,3,"A","R",NA,NA,NA,78,1,NA
"1595",258,"inc","HI","duo",3,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","R",NA,NA,NA,78,0.0625,NA
"1596",258,"inc","HI","duo",3,0.5,10,NA,"A2","Rhizo",NA,NA,3,"A","R",NA,NA,NA,78,1,NA
"1597",259,"inc","Low","duo",1,0.5,40,26,"A1","Asterio",5,58,3,"A","T",NA,NA,NA,78,0.0625,180960
"1598",259,"inc","Low","duo",1,0.5,20,26,"A2","ThalaCux",14,19,3,"A","T",NA,NA,NA,78,0.25,41496
"1599",260,"inc","Low","duo",2,0.5,40,26,"A1","Asterio",5,13,3,"A","T",NA,NA,NA,78,0.0625,40560
"1600",260,"inc","Low","duo",2,0.5,20,26,"A2","ThalaCux",5,50,3,"A","T",NA,NA,NA,78,0.25,39000
"1601",261,"inc","Low","duo",3,0.5,40,26,"A1","Asterio",5,12,3,"A","T",NA,NA,NA,78,0.0625,37440
"1602",261,"inc","Low","duo",3,0.5,20,26,"A2","ThalaCux",14,32,3,"A","T",NA,NA,NA,78,0.25,69888
"1603",262,"inc","HI","duo",1,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","T",NA,NA,NA,78,0.0625,NA
"1604",262,"inc","HI","duo",1,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"A","T",NA,NA,NA,78,0.25,NA
"1605",263,"inc","HI","duo",2,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","T",NA,NA,NA,78,0.0625,NA
"1606",263,"inc","HI","duo",2,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"A","T",NA,NA,NA,78,0.25,NA
"1607",264,"inc","HI","duo",3,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","T",NA,NA,NA,78,0.0625,NA
"1608",264,"inc","HI","duo",3,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"A","T",NA,NA,NA,78,0.25,NA
"1609",265,"inc","Low","duo",1,0.5,20,26,"A1","DityCux",14,8,3,"D","G",NA,NA,NA,78,0.25,17472
"1610",265,"inc","Low","duo",1,0.5,20,26,"A2","Guido",14,2,3,"D","G",NA,NA,NA,78,0.25,4368
"1611",266,"inc","Low","duo",2,0.5,20,26,"A1","DityCux",14,6,3,"D","G",NA,NA,NA,78,0.25,13104
"1612",266,"inc","Low","duo",2,0.5,20,26,"A2","Guido",14,1,3,"D","G",NA,NA,NA,78,0.25,2184
"1613",267,"inc","Low","duo",3,0.5,20,26,"A1","DityCux",14,10,3,"D","G",NA,NA,NA,78,0.25,21840
"1614",267,"inc","Low","duo",3,0.5,20,26,"A2","Guido",14,2,3,"D","G",NA,NA,NA,78,0.25,4368
"1615",268,"inc","HI","duo",1,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1616",268,"inc","HI","duo",1,0.5,20,NA,"A2","Guido",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1617",269,"inc","HI","duo",2,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1618",269,"inc","HI","duo",2,0.5,20,NA,"A2","Guido",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1619",270,"inc","HI","duo",3,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1620",270,"inc","HI","duo",3,0.5,20,NA,"A2","Guido",NA,NA,3,"D","G",NA,NA,NA,78,0.25,NA
"1621",271,"inc","Low","duo",1,0.5,20,27,"A1","DityCux",14,10,3,"D","R",NA,NA,NA,78,0.25,21840
"1622",271,"inc","Low","duo",1,0.5,10,27,"A2","Rhizo",14,8,3,"D","R",NA,NA,NA,78,1,4368
"1623",272,"inc","Low","duo",2,0.5,20,27,"A1","DityCux",14,11,3,"D","R",NA,NA,NA,78,0.25,24024
"1624",272,"inc","Low","duo",2,0.5,10,27,"A2","Rhizo",14,3,3,"D","R",NA,NA,NA,78,1,1638
"1625",273,"inc","Low","duo",3,0.5,20,27,"A1","DityCux",14,10,3,"D","R",NA,NA,NA,78,0.25,21840
"1626",273,"inc","Low","duo",3,0.5,10,27,"A2","Rhizo",14,2,3,"D","R",NA,NA,NA,78,1,1092
"1627",274,"inc","HI","duo",1,0.5,10,NA,"A1","DityCux",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1628",274,"inc","HI","duo",1,0.5,10,NA,"A2","Rhizo",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1629",275,"inc","HI","duo",2,0.5,10,NA,"A1","DityCux",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1630",275,"inc","HI","duo",2,0.5,10,NA,"A2","Rhizo",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1631",276,"inc","HI","duo",3,0.5,10,NA,"A1","DityCux",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1632",276,"inc","HI","duo",3,0.5,10,NA,"A2","Rhizo",NA,NA,3,"D","R",NA,NA,NA,78,1,NA
"1633",277,"inc","Low","duo",1,0.5,20,27,"A1","DityCux",14,11,3,"D","T",NA,NA,NA,78,0.25,24024
"1634",277,"inc","Low","duo",1,0.5,20,27,"A2","ThalaCux",14,31,3,"D","T",NA,NA,NA,78,0.25,67704
"1635",278,"inc","Low","duo",2,0.5,20,27,"A1","DityCux",14,8,3,"D","T",NA,NA,NA,78,0.25,17472
"1636",278,"inc","Low","duo",2,0.5,20,27,"A2","ThalaCux",14,23,3,"D","T",NA,NA,NA,78,0.25,50232
"1637",279,"inc","Low","duo",3,0.5,20,27,"A1","DityCux",14,9,3,"D","T",NA,NA,NA,78,0.25,19656
"1638",279,"inc","Low","duo",3,0.5,20,27,"A2","ThalaCux",14,34,3,"D","T",NA,NA,NA,78,0.25,74256
"1639",280,"inc","HI","duo",1,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1640",280,"inc","HI","duo",1,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1641",281,"inc","HI","duo",2,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1642",281,"inc","HI","duo",2,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1643",282,"inc","HI","duo",3,0.5,20,NA,"A1","DityCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1644",282,"inc","HI","duo",3,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"D","T",NA,NA,NA,78,0.25,NA
"1645",283,"inc","Low","duo",1,0.5,20,27,"A1","Guido",14,1,3,"G","R",NA,NA,NA,78,0.25,2184
"1646",283,"inc","Low","duo",1,0.5,10,27,"A2","Rhizo",14,7,3,"G","R",NA,NA,NA,78,1,3822
"1647",284,"inc","Low","duo",2,0.5,20,27,"A1","Guido",14,1,3,"G","R",NA,NA,NA,78,0.25,2184
"1648",284,"inc","Low","duo",2,0.5,10,27,"A2","Rhizo",14,8,3,"G","R",NA,NA,NA,78,1,4368
"1649",285,"inc","Low","duo",3,0.5,20,27,"A1","Guido",14,2,3,"G","R",NA,NA,NA,78,0.25,4368
"1650",285,"inc","Low","duo",3,0.5,10,27,"A2","Rhizo",14,7,3,"G","R",NA,NA,NA,78,1,3822
"1651",286,"inc","HI","duo",1,0.5,20,NA,"A1","Guido",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1652",286,"inc","HI","duo",1,0.5,10,NA,"A2","Rhizo",NA,NA,3,"G","R",NA,NA,NA,78,1,NA
"1653",287,"inc","HI","duo",2,0.5,20,NA,"A1","Guido",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1654",287,"inc","HI","duo",2,0.5,10,NA,"A2","Rhizo",NA,NA,3,"G","R",NA,NA,NA,78,1,NA
"1655",288,"inc","HI","duo",3,0.5,20,NA,"A1","Guido",NA,NA,3,"G","R",NA,NA,NA,78,0.25,NA
"1656",288,"inc","HI","duo",3,0.5,10,NA,"A2","Rhizo",NA,NA,3,"G","R",NA,NA,NA,78,1,NA
"1657",289,"inc","Low","duo",1,0.5,20,27,"A1","Guido",14,1,3,"G","T",NA,NA,NA,78,0.25,2184
"1658",289,"inc","Low","duo",1,0.5,20,27,"A2","ThalaCux",14,27,3,"G","T",NA,NA,NA,78,0.25,58968
"1659",290,"inc","Low","duo",2,0.5,20,27,"A1","Guido",14,1,3,"G","T",NA,NA,NA,78,0.25,2184
"1660",290,"inc","Low","duo",2,0.5,20,27,"A2","ThalaCux",14,36,3,"G","T",NA,NA,NA,78,0.25,78624
"1661",291,"inc","Low","duo",3,0.5,20,27,"A1","Guido",14,5,3,"G","T",NA,NA,NA,78,0.25,10920
"1662",291,"inc","Low","duo",3,0.5,20,27,"A2","ThalaCux",14,9,3,"G","T",NA,NA,NA,78,0.25,19656
"1663",292,"inc","HI","duo",1,0.5,20,NA,"A1","Guido",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1664",292,"inc","HI","duo",1,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1665",293,"inc","HI","duo",2,0.5,20,NA,"A1","Guido",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1666",293,"inc","HI","duo",2,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1667",294,"inc","HI","duo",3,0.5,20,NA,"A1","Guido",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1668",294,"inc","HI","duo",3,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"G","T",NA,NA,NA,78,0.25,NA
"1669",295,"inc","Low","duo",1,0.5,10,27,"A1","Rhizo",14,20,3,"R","T",NA,NA,NA,78,1,10920
"1670",295,"inc","Low","duo",1,0.5,20,27,"A2","ThalaCux",14,30,3,"R","T",NA,NA,NA,78,0.25,65520
"1671",296,"inc","Low","duo",2,0.5,10,27,"A1","Rhizo",14,7,3,"R","T",NA,NA,NA,78,1,3822
"1672",296,"inc","Low","duo",2,0.5,20,27,"A2","ThalaCux",14,4,3,"R","T",NA,NA,NA,78,0.25,8736
"1673",297,"inc","Low","duo",3,0.5,10,27,"A1","Rhizo",14,11,3,"R","T",NA,NA,NA,78,1,6006
"1674",297,"inc","Low","duo",3,0.5,20,27,"A2","ThalaCux",14,12,3,"R","T",NA,NA,NA,78,0.25,26208
"1675",298,"inc","HI","duo",1,0.5,10,NA,"A1","Rhizo",NA,NA,3,"R","T",NA,NA,NA,78,1,NA
"1676",298,"inc","HI","duo",1,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"R","T",NA,NA,NA,78,0.25,NA
"1677",299,"inc","HI","duo",2,0.5,10,NA,"A1","Rhizo",NA,NA,3,"R","T",NA,NA,NA,78,1,NA
"1678",299,"inc","HI","duo",2,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"R","T",NA,NA,NA,78,0.25,NA
"1679",300,"inc","HI","duo",3,0.5,10,NA,"A1","Rhizo",NA,NA,3,"R","T",NA,NA,NA,78,1,NA
"1680",300,"inc","HI","duo",3,0.5,20,NA,"A2","ThalaCux",NA,NA,3,"R","T",NA,NA,NA,78,0.25,NA
"1681",301,"inc+fluc","Low","duo",1,0.5,40,28,"A1","Asterio",14,46,3,"A","D",NA,NA,NA,78,0.0625,401856
"1682",301,"inc+fluc","Low","duo",1,0.5,20,28,"A2","DityCux",14,2,3,"A","D",NA,NA,NA,78,0.25,4368
"1683",302,"inc+fluc","Low","duo",2,0.5,40,28,"A1","Asterio",14,77,3,"A","D",NA,NA,NA,78,0.0625,672672
"1684",302,"inc+fluc","Low","duo",2,0.5,20,28,"A2","DityCux",14,7,3,"A","D",NA,NA,NA,78,0.25,15288
"1685",303,"inc+fluc","Low","duo",3,0.5,40,28,"A1","Asterio",5,21,3,"A","D",NA,NA,NA,78,0.0625,65520
"1686",303,"inc+fluc","Low","duo",3,0.5,20,28,"A2","DityCux",14,10,3,"A","D",NA,NA,NA,78,0.25,21840
"1687",304,"inc+fluc","HI","duo",1,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","D",NA,NA,NA,78,0.0625,NA
"1688",304,"inc+fluc","HI","duo",1,0.5,10,NA,"A2","DityCux",NA,NA,3,"A","D",NA,NA,NA,78,1,NA
"1689",305,"inc+fluc","HI","duo",2,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","D",NA,NA,NA,78,0.0625,NA
"1690",305,"inc+fluc","HI","duo",2,0.5,10,NA,"A2","DityCux",NA,NA,3,"A","D",NA,NA,NA,78,1,NA
"1691",306,"inc+fluc","HI","duo",3,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","D",NA,NA,NA,78,0.0625,NA
"1692",306,"inc+fluc","HI","duo",3,0.5,10,NA,"A2","DityCux",NA,NA,3,"A","D",NA,NA,NA,78,1,NA
"1693",307,"inc+fluc","Low","duo",1,0.5,40,28,"A1","Asterio",5,42,3,"A","G",NA,NA,NA,78,0.0625,131040
"1694",307,"inc+fluc","Low","duo",1,0.5,20,28,"A2","Guido",14,1,3,"A","G",NA,NA,NA,78,0.25,2184
"1695",308,"inc+fluc","Low","duo",2,0.5,40,28,"A1","Asterio",5,23,3,"A","G",NA,NA,NA,78,0.0625,71760
"1696",308,"inc+fluc","Low","duo",2,0.5,20,28,"A2","Guido",14,1,3,"A","G",NA,NA,NA,78,0.25,2184
"1697",309,"inc+fluc","Low","duo",3,0.5,40,28,"A1","Asterio",5,43,3,"A","G",NA,NA,NA,78,0.0625,134160
"1698",309,"inc+fluc","Low","duo",3,0.5,20,28,"A2","Guido",14,1,3,"A","G",NA,NA,NA,78,0.25,2184
"1699",310,"inc+fluc","HI","duo",1,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","G",NA,NA,NA,78,0.0625,NA
"1700",310,"inc+fluc","HI","duo",1,0.5,20,NA,"A2","Guido",NA,NA,3,"A","G",NA,NA,NA,78,0.25,NA
"1701",311,"inc+fluc","HI","duo",2,0.5,40,NA,"A1","Asterio",NA,NA,3,"A","G",NA,NA,NA,78,0.0625,NA
